NO_OF_FRAMES	6000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2020-09-26, 17:05:31
DATA_INCLUDED	Position
DATA_TYPES	Mass_pos_X	Mass_pos_Y	Mass_pos_Z

Mass_pos_X	Mass_pos_Y	Mass_pos_Z	
65.756	-349.115	311.700
65.758	-349.070	311.723
65.732	-349.073	311.775
65.724	-349.070	311.833
65.669	-349.056	311.865
65.733	-349.109	311.903
65.695	-349.042	311.928
65.734	-349.094	311.903
65.774	-349.023	311.873
65.798	-349.050	311.850
65.826	-349.082	311.839
65.852	-349.093	311.781
65.932	-349.166	311.717
65.970	-349.231	311.663
66.002	-349.247	311.582
65.579	-349.074	311.510
65.493	-349.009	311.416
65.491	-349.022	311.284
65.528	-349.071	311.216
65.527	-349.146	311.150
65.580	-349.142	311.060
65.662	-349.246	311.040
65.598	-349.239	310.980
65.551	-349.212	310.940
65.609	-349.273	310.892
65.523	-349.239	310.863
65.480	-349.262	310.858
65.415	-349.207	310.778
65.367	-349.273	310.788
65.238	-349.292	310.775
65.164	-349.219	310.752
64.950	-349.196	310.802
64.756	-349.148	310.817
64.565	-349.107	310.866
64.382	-349.053	310.974
64.134	-349.055	311.064
63.917	-348.984	311.218
64.229	-349.217	311.421
63.825	-349.043	311.589
63.597	-348.953	311.793
63.508	-348.830	312.012
64.233	-349.213	312.305
64.503	-349.193	312.523
65.657	-349.629	312.830
67.014	-350.032	313.158
68.446	-350.352	313.620
70.461	-350.763	314.150
72.924	-350.960	314.755
75.790	-350.655	315.372
79.238	-349.616	315.755
83.641	-347.418	315.919
88.915	-343.924	315.689
94.821	-339.118	314.987
101.695	-333.421	313.889
108.980	-326.460	312.297
116.866	-318.404	310.208
125.816	-309.529	307.924
136.489	-300.624	305.444
148.131	-291.260	302.906
160.284	-281.388	300.339
173.233	-271.321	298.253
184.713	-259.964	295.628
193.990	-247.361	291.928
202.812	-234.020	288.022
210.816	-221.013	284.098
217.014	-213.382	281.099
225.716	-190.830	275.208
232.384	-174.596	270.571
238.266	-159.304	266.250
243.708	-143.608	261.668
248.956	-127.273	257.210
253.827	-110.637	252.811
258.314	-93.635	248.499
262.283	-76.457	244.178
265.669	-59.102	239.951
268.443	-41.628	235.818
270.468	-24.059	231.715
271.699	-6.660	227.622
272.152	10.541	223.558
271.847	27.515	219.546
270.800	44.235	215.605
269.030	60.672	211.757
266.553	76.797	208.023
263.389	92.581	204.422
259.554	107.997	200.977
255.066	123.016	197.709
249.943	137.609	194.637
244.203	151.748	191.782
237.864	165.405	189.167
230.943	178.550	186.811
223.457	191.156	184.735
215.426	203.194	182.961
206.865	214.636	181.509
197.794	225.453	180.399
188.230	235.617	179.654
178.190	245.099	179.293
167.868	253.950	179.280
157.446	262.138	179.624
146.593	269.584	180.310
135.328	276.234	181.322
123.673	282.030	182.643
111.648	286.918	184.257
99.275	290.841	186.148
86.573	293.743	188.300
73.564	295.570	190.696
60.269	296.264	193.319
46.163	295.939	196.215
31.812	294.691	199.472
17.349	292.560	202.874
3.336	289.759	206.376
-9.657	286.284	210.102
-22.845	282.233	214.160
-35.764	277.317	218.395
-48.385	271.752	222.879
-60.668	265.385	227.571
-72.855	258.445	232.510
-85.065	250.756	237.641
-96.913	242.294	242.962
-108.762	233.120	248.414
-120.425	223.221	253.908
-131.852	212.598	259.381
-143.197	201.251	264.728
-154.108	189.295	269.954
-164.724	176.853	275.048
-174.897	163.899	279.932
-184.505	150.451	284.661
-193.655	136.700	289.192
-202.128	122.564	293.532
-210.049	108.167	297.724
-217.398	93.554	301.749
-224.142	78.768	305.652
-230.054	64.087	309.133
-235.152	49.523	312.203
-239.455	35.085	314.875
-242.981	20.785	317.163
-245.747	6.633	319.079
-247.773	-7.361	320.635
-249.077	-21.186	321.845
-249.676	-34.831	322.722
-249.589	-48.287	323.277
-248.834	-61.542	323.524
-247.429	-74.587	323.476
-245.393	-87.410	323.145
-242.744	-100.002	322.545
-239.500	-112.351	321.687
-235.679	-124.447	320.586
-231.299	-136.280	319.253
-226.379	-147.839	317.701
-220.937	-159.113	315.943
-214.991	-170.093	313.992
-208.559	-180.768	311.861
-201.660	-191.126	309.562
-194.312	-201.159	307.109
-186.533	-210.855	304.513
-178.341	-220.203	301.788
-169.754	-229.194	298.947
-160.791	-237.816	296.002
-151.470	-246.060	292.967
-141.809	-253.914	289.853
-131.826	-261.368	286.674
-121.540	-268.413	283.442
-110.969	-275.036	280.171
-100.131	-281.228	276.872
-89.044	-286.979	273.560
-77.726	-292.277	270.246
-66.196	-297.113	266.943
-54.472	-301.475	263.665
-42.572	-305.354	260.423
-30.514	-308.738	257.231
-18.317	-311.618	254.102
-5.998	-313.982	251.048
6.423	-315.821	248.082
19.424	-314.966	244.602
33.190	-311.023	240.450
46.815	-306.089	236.422
60.367	-300.223	232.501
73.425	-293.246	228.619
86.275	-285.308	224.837
98.894	-276.397	221.086
111.271	-266.828	217.486
123.436	-256.376	213.927
135.487	-245.303	210.458
147.324	-233.645	207.110
158.728	-221.450	203.924
169.889	-208.522	200.890
180.630	-195.042	198.094
190.657	-181.642	195.520
200.567	-166.508	193.063
209.611	-152.207	191.210
218.269	-136.807	189.408
226.249	-121.564	187.812
233.652	-106.331	186.519
240.420	-90.918	185.297
246.621	-75.145	184.365
252.189	-59.380	183.647
257.197	-43.307	183.232
261.541	-27.339	182.869
265.292	-11.293	182.771
268.353	4.899	183.009
270.741	21.257	183.512
272.352	37.547	184.371
273.160	53.731	185.674
273.174	69.605	187.266
272.416	85.145	189.136
270.908	100.325	191.271
268.670	115.120	193.660
265.724	129.504	196.290
262.092	143.453	199.150
257.795	156.941	202.227
252.855	169.943	205.511
247.292	182.433	208.989
241.129	194.387	212.649
234.387	205.779	216.480
227.088	216.583	220.470
219.252	226.776	224.606
210.901	236.330	228.877
202.057	245.222	233.271
192.741	253.426	237.776
182.975	260.916	242.380
172.779	267.667	247.072
162.176	273.655	251.840
151.187	278.853	256.671
139.834	283.237	261.554
128.137	286.782	266.477
116.119	289.461	271.428
103.800	291.251	276.395
91.202	292.125	281.367
78.238	292.202	286.106
65.145	291.448	290.760
51.906	289.986	295.269
38.812	287.686	299.499
25.488	284.702	303.612
12.421	280.971	307.405
-1.222	276.393	311.104
-14.776	270.992	314.525
-28.324	264.942	317.781
-41.869	258.150	320.797
-55.220	250.864	323.657
-68.506	242.918	326.253
-81.475	234.594	328.704
-94.272	225.732	330.909
-106.818	216.400	332.837
-118.981	206.786	334.509
-131.017	196.525	335.855
-142.702	185.810	336.857
