NO_OF_FRAMES	6000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2020-09-26, 17:03:43
DATA_INCLUDED	Position
DATA_TYPES	Origin_origin_X	Origin_origin_Y	Origin_origin_Z

Origin_origin_X	Origin_origin_Y	Origin_origin_Z	
31.922	4.297	665.047
31.997	4.328	665.011
32.041	4.382	665.036
32.049	4.459	665.044
32.100	4.486	665.022
32.102	4.537	665.066
32.066	4.574	665.080
32.052	4.565	665.023
32.008	4.568	665.049
31.935	4.602	665.102
31.897	4.600	665.050
31.877	4.618	665.054
31.853	4.665	665.099
31.898	4.678	665.026
31.941	4.703	664.990
31.949	4.771	665.065
31.947	4.757	665.022
31.925	4.725	664.968
31.831	4.781	665.050
31.696	4.833	665.088
31.621	4.847	665.053
31.562	4.859	665.045
31.513	4.834	665.061
31.508	4.837	665.080
31.481	4.857	665.051
31.471	4.917	665.043
31.430	4.967	665.087
31.378	4.954	665.069
31.352	4.882	665.028
31.325	4.852	665.083
31.285	4.847	665.129
31.266	4.827	665.074
31.235	4.821	665.074
31.206	4.832	665.099
31.185	4.812	665.108
31.144	4.798	665.129
31.077	4.750	665.122
31.016	4.769	665.107
30.888	4.795	665.154
30.760	4.821	665.202
30.653	4.777	665.214
30.545	4.761	665.312
30.453	4.719	665.376
30.409	4.678	665.323
30.402	4.681	665.348
30.406	4.730	665.419
30.452	4.674	665.375
30.508	4.607	665.379
30.513	4.562	665.398
30.510	4.529	665.338
30.471	4.568	665.326
30.378	4.617	665.402
30.316	4.582	665.375
30.263	4.517	665.403
30.194	4.455	665.488
30.148	4.405	665.489
30.151	4.380	665.473
30.125	4.386	665.485
30.162	4.387	665.466
30.163	4.348	665.484
30.201	4.306	665.458
30.225	4.193	665.409
30.235	4.165	665.445
30.189	4.167	665.477
30.169	4.184	665.423
30.156	4.204	665.427
30.155	4.214	665.496
30.184	4.130	665.457
30.238	4.058	665.428
30.261	4.100	665.474
30.262	4.100	665.487
30.264	4.067	665.446
30.232	4.034	665.444
30.197	3.962	665.448
30.179	3.917	665.441
30.176	3.877	665.453
30.227	3.864	665.449
30.317	3.863	665.430
30.425	3.898	665.406
30.554	3.886	665.389
30.698	3.856	665.361
30.777	3.785	665.327
30.799	3.760	665.330
30.777	3.819	665.361
30.720	3.839	665.351
30.686	3.797	665.266
30.646	3.755	665.298
30.637	3.779	665.385
30.677	3.758	665.317
30.749	3.762	665.265
