NO_OF_FRAMES	6121
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2020-09-26, 18:04:10
DATA_INCLUDED	Position
DATA_TYPES	Mass_pos_X	Mass_pos_Y	Mass_pos_Z

Mass_pos_X	Mass_pos_Y	Mass_pos_Z	
-16.599	-179.192	236.157
-6.313	-178.394	234.933
4.427	-177.279	233.580
15.123	-175.679	232.387
25.550	-173.556	231.284
35.809	-170.855	230.189
46.038	-167.899	229.173
56.080	-164.889	228.262
65.760	-161.375	227.358
75.721	-157.577	226.518
85.120	-154.457	225.852
94.607	-149.784	225.170
104.586	-143.351	224.301
113.707	-138.092	224.073
122.518	-132.692	223.658
131.061	-126.121	223.395
139.263	-119.109	223.260
147.122	-112.250	223.265
154.598	-105.418	223.359
161.823	-97.891	223.485
168.756	-90.259	223.736
174.801	-82.051	224.053
180.558	-73.965	224.532
185.373	-65.535	225.109
190.053	-57.072	225.734
194.053	-48.357	226.601
198.190	-39.868	227.566
201.754	-31.288	228.567
204.148	-22.588	229.467
206.557	-14.111	230.528
208.615	-5.621	231.702
210.053	2.812	232.937
210.889	11.171	234.227
211.137	19.437	235.568
210.813	27.596	236.953
209.933	35.629	238.376
208.511	43.521	239.832
206.564	51.253	241.315
204.107	58.810	242.819
201.156	66.174	244.339
197.726	73.329	245.867
193.832	80.258	247.400
189.490	86.943	248.931
184.717	93.369	250.453
179.526	99.518	251.962
173.934	105.373	253.452
167.956	110.918	254.916
161.609	116.135	256.350
154.906	121.009	257.746
147.864	125.521	259.101
140.499	129.655	260.406
132.826	133.395	261.658
124.860	136.723	262.850
116.617	139.623	263.976
108.112	142.078	265.030
99.361	144.070	266.008
90.362	145.789	266.854
80.972	147.293	267.638
70.895	148.583	268.444
61.062	149.512	269.222
51.263	150.026	269.900
41.064	150.001	270.499
30.930	149.523	270.976
20.675	148.827	271.401
10.433	147.708	271.821
0.188	146.114	272.049
-10.265	144.356	272.163
-20.418	142.107	272.294
-30.705	139.571	272.191
-40.858	136.578	271.972
-50.824	133.222	271.696
-60.570	129.500	271.306
-70.205	125.325	270.763
-79.643	120.858	270.112
-88.815	116.097	269.388
-97.742	110.954	268.556
-106.332	105.630	267.592
-114.706	100.047	266.561
-122.487	94.243	265.332
-129.823	88.294	264.058
-136.713	82.089	262.739
-143.141	75.615	261.370
-149.439	68.917	259.958
-155.283	61.995	258.497
-160.665	54.869	256.991
-165.579	47.557	255.447
-170.018	40.079	253.870
-173.975	32.454	252.265
-177.441	24.702	250.640
-180.412	16.842	248.998
-182.878	8.893	247.346
-184.833	0.874	245.690
-186.271	-7.195	244.036
-187.183	-15.295	242.389
-187.564	-23.407	240.754
-187.404	-31.512	239.138
-186.699	-39.590	237.547
-185.440	-47.622	235.985
-183.620	-55.588	234.460
-181.233	-63.470	232.976
-178.270	-71.248	231.539
-174.966	-78.882	230.174
-171.129	-86.085	229.012
-166.503	-93.237	227.852
-161.342	-100.123	226.788
-155.724	-106.678	225.863
-149.721	-112.890	225.073
-143.835	-118.786	224.516
-137.561	-124.720	224.063
-130.345	-130.344	223.650
-122.664	-135.823	223.436
-114.640	-140.952	223.273
-106.397	-145.831	223.177
-97.906	-150.407	223.372
-89.082	-154.575	223.688
-79.876	-158.118	223.794
-70.552	-161.171	224.110
-61.007	-163.948	224.502
-51.066	-166.445	225.083
-41.107	-168.612	225.803
-31.032	-170.502	226.658
-20.856	-171.825	227.517
-10.377	-172.664	228.514
0.015	-172.981	229.487
10.380	-172.893	230.551
20.795	-172.401	231.686
31.163	-171.526	232.830
41.478	-170.204	234.036
51.804	-168.471	235.265
62.052	-166.373	236.611
71.972	-163.715	237.952
81.794	-160.849	239.310
90.832	-159.134	240.707
100.595	-154.035	241.866
109.974	-149.347	243.211
118.633	-144.364	244.231
126.628	-140.535	245.465
135.245	-135.350	246.713
143.654	-130.011	247.945
151.526	-124.949	249.128
159.182	-119.315	250.340
166.253	-113.068	251.446
172.880	-106.459	252.452
178.769	-99.424	253.304
184.440	-92.122	254.198
189.843	-84.716	255.091
194.763	-77.055	255.960
