NO_OF_FRAMES	6000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2020-09-26, 18:04:55
DATA_INCLUDED	Position
DATA_TYPES	Mass_pos_X	Mass_pos_Y	Mass_pos_Z

Mass_pos_X	Mass_pos_Y	Mass_pos_Z	
-4.141	-269.293	229.943
-3.196	-264.201	235.744
-2.162	-258.390	241.619
-1.120	-252.048	247.553
-0.187	-244.966	253.609
0.848	-237.390	259.576
1.728	-229.216	265.589
2.405	-220.495	271.621
3.283	-211.427	277.480
3.824	-201.831	283.225
4.591	-191.818	288.728
5.264	-181.425	294.075
6.048	-170.594	299.171
6.748	-159.351	303.975
7.511	-147.887	308.389
8.306	-135.627	312.766
9.120	-123.140	316.663
10.087	-110.139	320.145
10.757	-97.618	323.386
11.553	-84.317	326.260
12.412	-70.835	328.735
13.144	-57.659	330.593
14.011	-44.153	332.166
14.853	-30.536	333.311
15.627	-16.791	333.906
16.407	-3.032	334.046
17.184	10.738	333.797
18.089	24.393	333.067
19.078	37.914	331.808
20.155	51.246	330.140
21.006	64.443	327.981
21.957	77.393	325.274
22.828	90.226	322.109
23.552	102.678	318.622
24.286	114.776	314.633
25.031	126.513	310.227
25.604	137.832	305.368
25.921	148.846	300.107
25.901	159.243	294.514
26.054	169.277	288.609
26.228	178.852	282.391
26.429	187.922	276.044
26.504	196.483	269.685
26.532	204.580	263.209
26.442	212.085	256.887
26.474	219.209	250.706
26.347	225.675	244.564
26.194	231.567	238.606
26.158	236.964	232.927
26.128	241.725	227.438
26.076	245.757	222.068
25.979	249.027	216.887
25.791	251.495	211.847
25.510	253.157	206.973
25.131	254.007	202.291
24.654	254.040	197.824
24.073	253.249	193.599
23.387	251.631	189.640
22.593	249.180	185.972
21.686	245.890	182.620
20.665	241.756	179.608
19.663	236.773	176.820
18.600	231.062	174.468
17.714	224.764	172.579
16.813	217.799	171.145
15.992	210.177	170.164
15.099	202.090	169.751
14.098	193.358	169.755
13.215	184.248	170.170
12.255	174.529	171.003
11.342	164.387	172.305
10.385	153.658	173.818
9.499	142.355	175.625
8.637	130.543	177.542
7.776	118.110	179.675
6.753	105.229	182.035
5.981	91.953	184.637
4.909	78.314	187.487
3.836	64.539	190.536
2.823	50.562	193.852
1.715	36.167	197.306
0.488	21.406	200.907
-0.621	6.760	204.753
-1.682	-7.789	208.777
-2.606	-22.326	212.899
-3.404	-36.829	217.217
-4.179	-51.181	221.584
-4.748	-64.970	225.863
-5.477	-79.372	230.278
-5.949	-93.285	234.637
-6.578	-107.201	238.874
-7.670	-122.137	243.291
-7.632	-133.699	247.608
-8.062	-146.623	251.836
-8.470	-159.356	255.984
-8.853	-171.841	260.084
-9.173	-183.969	264.089
-9.483	-195.907	268.037
-9.599	-207.389	271.883
-9.837	-218.516	275.695
-9.889	-229.147	279.366
-9.947	-239.398	283.024
-9.916	-249.012	286.530
-9.991	-257.987	289.896
-10.081	-266.202	293.075
-10.134	-273.691	296.114
-10.282	-280.319	298.957
-10.317	-286.119	301.564
-10.669	-290.909	303.894
-10.576	-295.209	306.116
-10.116	-298.813	308.099
-9.519	-301.522	309.797
-9.315	-303.181	311.135
-8.388	-304.448	312.384
-7.858	-305.141	313.517
-7.237	-305.350	314.487
-6.845	-305.033	315.334
-6.658	-304.031	315.965
-6.253	-302.567	316.504
-5.771	-300.240	316.834
-5.216	-297.113	316.889
-4.664	-293.259	316.701
-3.941	-288.962	316.406
-3.225	-283.822	315.761
-2.390	-278.143	314.896
-1.466	-271.794	313.733
-0.729	-264.755	312.282
0.150	-256.922	310.513
0.765	-248.373	308.422
1.090	-238.920	305.930
1.736	-229.053	303.296
2.560	-218.637	300.441
3.339	-207.695	297.324
4.263	-196.335	294.010
5.224	-184.582	290.509
6.168	-172.386	286.732
7.143	-159.956	282.788
8.150	-147.362	278.640
8.847	-134.533	274.227
9.793	-121.137	269.760
10.863	-107.295	264.972
11.575	-93.969	260.250
12.408	-80.390	255.320
13.176	-66.828	250.323
13.776	-53.062	245.218
14.335	-39.311	240.007
14.898	-25.553	234.749
15.482	-11.844	229.461
16.132	1.801	224.140
16.787	15.494	218.811
17.492	29.067	213.517
18.223	42.607	208.308
18.923	56.012	203.214
19.633	69.378	198.271
20.244	82.390	193.557
20.928	95.566	189.118
21.488	107.929	184.832
22.040	119.835	180.779
22.502	131.271	177.001
22.952	142.204	173.446
23.373	152.726	170.093
23.811	162.721	167.096
24.157	172.067	164.367
24.375	180.902	162.043
24.448	189.028	160.018
24.366	196.564	158.476
24.158	203.453	157.292
23.849	209.667	156.734
23.470	215.231	156.538
23.131	220.131	156.772
22.807	224.408	157.488
22.606	228.037	158.671
22.424	231.007	160.304
22.260	233.268	162.443
22.015	234.837	165.021
21.736	235.684	167.999
21.330	235.744	171.403
20.802	234.992	175.314
20.177	233.342	179.441
19.476	230.935	183.872
18.573	227.751	188.529
17.726	223.735	193.484
16.805	219.007	198.656
15.757	213.558	204.062
14.863	207.551	209.607
13.733	200.806	215.480
12.650	193.560	221.504
11.373	185.809	227.784
10.015	177.476	234.184
8.787	168.727	240.712
7.540	159.438	247.272
6.381	149.795	253.868
5.322	139.682	260.346
4.244	129.292	266.726
3.311	118.489	272.930
2.468	107.430	278.971
1.599	96.061	284.759
0.653	84.344	290.275
-0.056	72.470	295.558
-1.048	60.240	300.402
-1.977	47.869	304.920
-3.054	35.365	309.221
-4.381	22.629	312.947
-5.725	9.695	316.457
-6.774	-3.283	319.313
-8.096	-16.409	321.889
-9.218	-29.613	323.981
-10.477	-42.633	325.518
-11.684	-55.627	326.718
-12.868	-68.941	327.439
-13.975	-81.852	327.765
-14.998	-94.660	327.629
-15.860	-106.706	327.025
-16.947	-119.274	326.236
-17.737	-130.939	324.685
-18.952	-143.453	323.302
-19.508	-154.669	321.205
-20.258	-165.538	318.719
-20.836	-176.229	315.737
