NO_OF_FRAMES	6121
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2020-09-26, 18:04:03
DATA_INCLUDED	Position
DATA_TYPES	Origin_pos_origin_X	Origin_pos_origin_Y	Origin_pos_origin_Z

Origin_pos_origin_X	Origin_pos_origin_Y	Origin_pos_origin_Z	
29.695	3.615	663.000
29.688	3.628	663.018
29.689	3.656	663.021
29.704	3.652	663.028
29.732	3.631	663.011
29.743	3.601	662.990
29.760	3.592	662.984
29.762	3.603	662.989
29.774	3.635	662.979
29.779	3.665	662.994
29.789	3.668	663.000
29.798	3.651	663.015
29.814	3.624	662.994
29.827	3.652	662.983
29.814	3.657	662.969
29.827	3.672	662.961
29.846	3.691	662.958
29.864	3.688	662.972
29.856	3.704	662.957
29.853	3.701	662.983
29.858	3.697	662.964
29.855	3.724	662.960
29.876	3.733	662.959
29.882	3.744	662.970
29.881	3.759	662.988
29.881	3.788	662.977
29.873	3.787	662.964
29.886	3.786	662.939
29.904	3.795	662.931
29.897	3.802	662.943
29.891	3.834	662.951
29.879	3.854	662.968
29.881	3.864	662.973
29.883	3.883	662.964
29.885	3.895	662.950
29.879	3.921	662.940
29.871	3.935	662.957
29.845	3.958	662.967
29.834	3.971	662.977
29.842	3.974	662.971
29.851	3.971	662.958
29.856	3.984	662.937
29.842	4.013	662.953
29.815	4.034	662.982
29.797	4.034	663.001
29.776	4.053	662.992
29.785	4.067	662.977
29.795	4.070	662.983
29.781	4.051	663.006
29.780	4.077	663.015
29.753	4.094	663.006
29.741	4.110	662.984
29.711	4.126	662.981
29.722	4.125	663.020
29.708	4.145	663.024
29.706	4.150	663.036
29.706	4.150	663.036
29.694	4.127	663.033
29.670	4.156	663.022
29.648	4.172	663.033
29.636	4.181	663.058
29.619	4.183	663.057
29.609	4.167	663.053
29.614	4.163	663.034
29.624	4.162	663.002
29.608	4.190	663.024
29.572	4.199	663.048
29.559	4.188	663.082
29.568	4.174	663.078
29.558	4.145	663.062
29.553	4.137	663.031
29.553	4.154	663.029
29.553	4.169	663.059
