NO_OF_FRAMES	6000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2020-09-27, 14:26:35
DATA_INCLUDED	Position
DATA_TYPES	Origin_pos_X	Origin_pos_Y	Origin_pos_Z

Origin_pos_X	Origin_pos_Y	Origin_pos_Z	
28.354	3.968	664.881
28.360	3.955	664.851
28.352	4.011	664.888
28.332	4.017	664.919
28.342	4.015	664.887
28.344	4.002	664.851
28.353	4.025	664.860
28.350	4.053	664.915
28.353	4.080	664.930
28.347	4.066	664.880
28.348	4.079	664.853
28.328	4.140	664.877
28.315	4.183	664.922
28.306	4.215	664.924
28.307	4.241	664.869
28.286	4.243	664.862
28.273	4.278	664.896
28.255	4.318	664.955
28.249	4.325	664.941
28.260	4.363	664.904
28.256	4.425	664.920
28.249	4.453	664.968
28.238	4.446	664.976
28.246	4.432	664.958
28.248	4.456	664.936
28.234	4.491	664.957
28.219	4.529	664.983
28.223	4.560	664.960
28.244	4.555	664.928
28.219	4.599	664.935
28.200	4.660	664.959
28.178	4.666	664.977
28.161	4.699	664.947
28.157	4.755	664.920
28.127	4.803	664.945
28.087	4.828	664.961
28.070	4.859	664.950
28.060	4.865	664.930
28.034	4.910	664.923
28.035	4.955	664.924
28.028	4.979	664.933
28.039	4.978	664.914
28.038	4.981	664.881
28.054	5.001	664.853
28.045	5.030	664.887
28.018	5.092	664.878
28.030	5.116	664.882
28.022	5.143	664.858
28.022	5.143	664.858
28.009	5.146	664.864
27.978	5.172	664.893
27.936	5.207	664.907
27.911	5.217	664.880
27.885	5.240	664.890
27.867	5.229	664.917
27.900	5.169	664.925
27.910	5.111	664.914
27.932	5.105	664.896
27.926	5.081	664.912
27.905	5.112	664.953
27.891	5.102	664.986
27.898	5.071	664.971
27.923	5.056	664.954
27.911	5.027	665.003
27.916	4.996	665.052
27.904	4.972	665.049
27.903	4.934	665.055
27.914	4.892	665.054
27.942	4.881	665.107
27.970	4.846	665.119
27.997	4.826	665.090
27.999	4.784	665.063
27.958	4.794	665.126
27.931	4.788	665.223
27.924	4.734	665.269
27.962	4.675	665.207
28.037	4.621	665.189
28.033	4.647	665.263
27.931	4.707	665.280
27.932	4.683	665.102
27.992	4.563	664.952
27.984	4.588	665.097
27.926	4.679	665.271
28.017	4.576	665.169
28.133	4.443	664.963
28.075	4.482	664.957
27.971	4.568	665.061
27.958	4.570	665.067
27.995	4.497	664.974
28.028	4.432	664.886
28.086	4.403	664.884
28.109	4.395	664.956
28.060	4.421	664.946
28.061	4.381	664.829
28.092	4.357	664.768
28.064	4.393	664.814
28.072	4.348	664.840
28.160	4.199	664.744
28.211	4.118	664.698
28.183	4.126	664.755
28.167	4.142	664.785
28.175	4.137	664.792
28.168	4.118	664.756
28.196	4.071	664.717
28.253	4.033	664.710
28.247	4.065	664.744
28.247	4.081	664.684
28.287	4.083	664.671
28.249	4.177	664.729
28.198	4.230	664.786
28.231	4.180	664.786
28.243	4.150	664.778
28.249	4.161	664.789
28.272	4.180	664.793
28.272	4.206	664.815
28.237	4.243	664.829
28.255	4.229	664.851
28.259	4.224	664.910
28.245	4.283	664.972
28.243	4.325	664.999
28.255	4.348	665.002
28.237	4.368	664.999
28.221	4.384	665.029
28.209	4.386	665.048
28.221	4.399	665.060
28.212	4.411	665.084
28.184	4.442	665.182
28.087	4.549	665.360
27.967	4.625	665.485
27.946	4.605	665.494
27.958	4.573	665.427
28.011	4.558	665.378
28.078	4.563	665.365
28.110	4.666	665.248
28.113	4.738	664.967
28.319	4.626	664.932
28.142	4.775	665.232
27.932	4.874	665.360
28.088	4.594	665.077
28.260	4.506	664.870
28.141	4.716	665.028
28.165	4.834	665.082
28.278	4.757	664.920
28.230	4.758	664.881
28.125	4.739	664.928
28.177	4.669	664.945
28.247	4.675	664.938
28.262	4.873	664.813
28.317	4.935	664.682
28.314	4.995	664.765
28.121	5.117	664.843
28.055	5.110	664.799
28.137	4.948	664.712
28.159	4.969	664.774
28.153	5.068	664.831
28.229	5.043	664.738
28.239	5.069	664.638
28.077	5.194	664.735
28.008	5.163	664.791
28.045	5.070	664.720
28.073	5.064	664.644
28.133	5.079	664.622
28.232	5.055	664.723
28.131	5.088	664.880
27.996	5.112	664.856
27.988	4.993	664.750
27.961	4.957	664.800
27.957	4.984	664.932
28.096	4.920	664.851
28.268	4.827	664.697
28.224	4.881	664.696
28.105	4.907	664.905
27.983	4.860	665.053
27.907	4.824	665.070
27.963	4.787	664.972
28.071	4.770	664.917
28.112	4.808	664.996
28.067	4.848	665.022
27.999	4.788	664.953
27.892	4.757	664.937
27.793	4.740	665.159
27.817	4.727	665.354
27.962	4.658	665.267
28.130	4.556	665.024
28.184	4.573	664.926
28.036	4.653	665.068
27.893	4.653	665.197
27.841	4.615	665.157
27.914	4.555	665.172
27.995	4.566	665.248
28.068	4.560	665.127
28.209	4.390	664.938
28.163	4.392	664.970
27.880	4.550	665.159
27.801	4.519	665.189
27.925	4.394	665.098
28.006	4.383	665.041
28.078	4.439	665.021
28.151	4.420	664.998
28.067	4.434	665.009
27.915	4.388	665.028
27.877	4.327	665.016
27.888	4.325	664.997
27.965	4.340	665.015
28.088	4.293	664.964
28.165	4.214	664.930
28.083	4.238	664.946
27.954	4.276	664.972
27.888	4.260	664.993
27.912	4.278	665.010
27.989	4.296	664.937
28.147	4.246	664.828
28.187	4.235	664.843
28.094	4.234	664.946
28.024	4.200	664.963
28.005	4.195	664.925
27.998	4.275	664.927
28.080	4.303	664.943
28.230	4.220	664.904
28.287	4.152	664.849
28.243	4.162	664.828
28.169	4.213	664.878
28.066	4.310	664.974
28.041	4.414	664.999
28.108	4.424	664.946
28.186	4.410	664.916
28.202	4.389	664.925
28.192	4.327	664.934
28.145	4.352	664.936
28.068	4.444	664.943
28.077	4.537	664.962
28.123	4.548	664.980
28.209	4.507	664.973
28.269	4.423	664.972
28.274	4.437	664.951
28.223	4.478	664.958
28.170	4.561	664.979
28.142	4.638	664.987
28.185	4.653	664.960
28.260	4.590	664.930
28.305	4.547	664.936
28.280	4.543	664.937
28.232	4.594	664.948
28.167	4.709	664.958
28.156	4.781	664.929
28.207	4.779	664.916
28.251	4.765	664.899
28.300	4.708	664.881
28.325	4.706	664.837
28.271	4.760	664.868
28.185	4.864	664.898
28.169	4.911	664.898
28.172	4.940	664.894
28.195	4.917	664.878
28.263	4.859	664.854
28.293	4.859	664.835
28.268	4.909	664.847
28.224	4.989	664.855
28.182	5.027	664.908
28.158	5.021	664.941
28.192	4.945	664.932
28.253	4.901	664.926
