NO_OF_FRAMES	6000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2020-09-27, 14:26:42
DATA_INCLUDED	Position
DATA_TYPES	Mass_pos_X	Mass_pos_Y	Mass_pos_Z

Mass_pos_X	Mass_pos_Y	Mass_pos_Z	
66.833	-256.037	317.496
66.919	-255.820	317.319
66.972	-255.872	317.176
67.251	-256.035	317.028
67.114	-255.967	316.898
67.215	-256.090	316.784
67.032	-255.999	316.678
67.044	-255.776	316.513
66.939	-255.782	316.423
66.991	-255.911	316.305
66.833	-255.818	316.183
66.879	-255.915	316.023
66.806	-255.937	315.901
66.734	-255.888	315.786
66.691	-255.652	315.591
66.647	-255.674	315.481
66.564	-255.691	315.325
66.654	-255.748	315.128
66.653	-255.821	315.015
66.628	-255.733	314.891
66.797	-255.527	314.708
66.713	-255.529	314.637
66.701	-255.508	314.554
66.727	-255.520	314.488
66.686	-255.472	314.463
66.775	-255.429	314.512
66.859	-255.354	314.562
66.790	-255.331	314.851
66.811	-254.922	315.188
66.896	-254.547	315.645
66.565	-255.730	316.786
66.892	-255.064	317.574
67.456	-254.292	318.564
68.280	-253.361	319.630
69.356	-252.333	320.876
70.774	-251.018	322.159
72.346	-249.750	323.618
74.204	-248.182	325.026
76.330	-246.564	326.505
78.892	-244.835	328.011
81.662	-242.610	329.295
84.731	-240.401	330.493
88.222	-237.908	331.425
91.829	-235.097	332.023
95.728	-231.648	332.156
99.955	-227.467	331.707
104.690	-222.928	330.839
109.799	-217.379	329.262
116.023	-208.753	326.710
121.817	-203.207	324.694
128.218	-195.959	323.208
134.667	-188.099	321.058
139.950	-183.162	319.573
146.309	-175.586	318.069
152.350	-164.918	316.149
157.654	-153.531	314.441
162.012	-141.204	313.019
165.562	-128.297	311.778
168.114	-115.112	310.534
170.192	-101.987	309.364
171.435	-89.143	308.099
171.921	-76.111	306.790
171.742	-63.401	305.432
170.932	-50.831	304.019
169.496	-38.393	302.590
167.466	-25.985	301.324
165.120	-13.673	300.167
162.028	-1.328	299.105
158.623	11.032	298.222
155.056	23.264	297.510
151.104	35.881	296.958
146.792	47.885	296.496
142.402	60.072	296.219
137.868	72.031	296.108
132.984	83.884	296.258
127.727	95.193	296.802
122.444	106.790	297.725
116.579	118.371	299.034
110.406	129.756	300.807
103.754	140.592	302.931
96.732	150.708	305.314
89.337	160.040	307.856
81.567	168.526	310.458
73.423	176.100	313.022
64.900	182.701	315.449
56.000	188.265	317.639
46.719	192.727	319.493
37.426	196.218	321.255
27.699	198.862	322.987
17.673	200.788	324.665
7.895	201.932	326.480
-1.657	202.395	328.590
-10.958	202.292	330.868
-19.789	201.664	333.458
-27.869	200.613	336.284
-35.841	199.087	339.214
-43.249	197.074	342.345
-50.195	194.541	345.593
-56.997	191.444	348.959
-63.766	187.739	352.505
-70.563	183.304	356.045
-77.422	177.893	359.598
-84.722	171.721	363.053
-91.791	164.741	366.301
-98.927	157.187	369.309
-105.742	149.056	371.937
-112.331	140.482	374.226
-118.484	131.378	376.039
-124.226	122.029	377.466
-129.409	112.437	378.439
-133.834	102.551	378.956
-137.854	92.405	379.086
-141.359	81.927	378.801
-144.373	71.269	378.162
-146.766	60.389	377.000
-148.568	49.315	375.353
-149.809	38.074	373.262
-150.521	26.693	370.768
-150.733	15.197	367.909
-150.476	3.615	364.728
-149.780	-8.028	361.263
-148.674	-19.704	357.555
-147.191	-31.386	353.643
-145.359	-43.049	349.569
-143.209	-54.664	345.372
-140.802	-65.899	340.978
-137.898	-76.740	336.589
-134.692	-86.927	331.998
-132.014	-98.460	328.150
-128.569	-109.002	324.248
-124.187	-117.449	319.707
-119.491	-126.882	315.643
-114.489	-135.912	311.338
-108.995	-144.687	307.030
-102.872	-153.353	302.653
-96.189	-161.675	298.295
-88.900	-169.737	294.016
-81.029	-177.482	289.858
-72.629	-184.798	286.054
-63.708	-191.511	282.593
-54.529	-197.452	279.690
-44.893	-202.627	277.109
-35.358	-206.701	275.072
-25.811	-209.735	273.417
-16.287	-211.706	272.290
-6.965	-212.620	271.556
2.129	-212.423	271.237
11.102	-211.479	271.437
20.070	-209.887	272.143
28.981	-207.414	273.113
37.933	-204.337	274.485
47.115	-200.746	276.229
56.342	-196.463	278.217
65.409	-191.494	280.480
74.560	-186.114	283.137
83.388	-180.408	286.104
91.989	-174.453	289.416
101.076	-165.656	292.489
109.187	-158.998	296.562
117.426	-150.506	300.451
125.278	-141.762	304.565
132.617	-132.978	308.779
139.692	-123.592	313.005
146.406	-113.617	317.251
152.629	-103.460	321.486
158.247	-92.787	325.610
163.267	-81.781	329.645
167.642	-70.565	333.526
171.395	-59.070	337.186
174.693	-47.420	340.734
177.435	-35.643	343.989
179.790	-23.524	347.166
181.779	-11.247	350.245
183.267	0.982	353.081
184.340	13.047	355.562
185.001	24.924	357.700
185.252	36.591	359.509
185.094	48.025	361.001
184.529	59.206	362.189
183.560	70.109	363.087
182.187	80.713	363.707
180.414	90.996	364.063
178.242	100.935	364.167
175.672	110.507	364.033
172.707	119.692	363.673
169.349	128.465	363.101
165.599	136.805	362.329
161.459	144.690	361.371
156.932	152.097	360.239
152.019	159.003	358.947
146.721	165.388	357.507
141.042	171.227	355.933
134.983	176.500	354.237
128.545	181.182	352.434
121.730	185.254	350.534
114.542	188.691	348.552
106.980	191.471	346.501
99.048	193.573	344.394
90.747	194.974	342.243
82.079	195.651	340.062
73.480	195.686	337.892
64.567	195.087	335.699
55.829	193.764	333.542
46.770	191.896	331.454
37.780	189.301	329.310
28.814	186.094	327.279
19.864	181.972	325.280
10.394	177.111	323.036
1.076	171.548	320.913
-8.749	165.237	318.676
-18.406	158.229	316.462
-28.018	150.535	314.295
-37.550	142.422	312.182
-46.766	133.701	310.207
-55.694	124.611	308.312
-64.414	115.068	306.573
-72.826	105.174	304.997
-80.919	95.038	303.629
-88.654	84.548	302.465
-95.906	73.919	301.563
-102.937	63.173	300.843
-109.367	52.195	300.383
-115.490	41.156	300.146
-120.920	29.888	299.879
-125.909	18.584	299.786
-130.309	7.044	299.660
-133.970	-4.605	299.513
-136.988	-16.304	299.354
-139.485	-28.115	299.244
-141.619	-40.010	299.359
-143.153	-51.554	299.624
-144.176	-62.664	300.043
-145.638	-75.416	300.692
-146.378	-87.491	301.792
-146.291	-98.181	303.088
-145.530	-108.686	304.542
-144.119	-118.951	306.147
-142.082	-128.926	307.895
-139.443	-138.556	309.776
-136.226	-147.790	311.782
-132.455	-156.574	313.905
-128.155	-164.857	316.136
-123.349	-172.585	318.467
-118.062	-179.706	320.889
-112.318	-186.167	323.393
-106.139	-191.916	325.971
-99.552	-196.900	328.614
-92.564	-201.220	331.343
-85.086	-205.007	334.085
-77.235	-208.205	336.789
-69.161	-210.747	339.513
-60.964	-212.653	342.182
-52.246	-214.178	344.756
-43.436	-215.095	347.204
-34.393	-215.610	349.596
-25.393	-215.497	351.857
-16.131	-214.918	353.922
-6.698	-213.793	355.955
2.444	-211.947	357.740
11.464	-209.557	359.292
20.771	-206.674	360.607
29.962	-203.127	361.557
39.120	-199.120	362.232
48.230	-194.814	362.550
57.581	-189.967	362.626
67.339	-183.325	361.897
76.446	-177.458	361.140
85.780	-170.352	359.949
94.629	-162.546	358.360
103.284	-154.839	356.613
111.743	-146.315	354.434
119.847	-137.168	352.016
127.548	-127.584	349.373
135.036	-117.569	346.564
142.017	-107.338	343.646
148.626	-96.868	340.477
154.880	-86.450	337.219
160.773	-75.976	333.624
166.186	-65.473	329.892
171.207	-55.119	325.949
175.738	-44.793	321.826
179.714	-34.688	317.566
183.098	-24.706	313.301
185.789	-14.855	308.918
187.968	-5.035	304.603
189.275	4.868	300.361
190.199	14.557	296.322
190.606	24.217	292.542
190.450	33.898	288.993
189.732	43.545	285.812
188.460	53.048	282.982
186.609	62.391	280.508
184.253	71.649	278.492
181.262	80.632	276.930
177.831	89.938	275.862
173.576	98.130	275.192
168.881	106.079	274.990
163.477	113.450	275.241
157.469	120.282	275.909
150.884	126.532	276.954
143.752	132.160	278.340
136.102	137.123	280.028
127.963	141.381	281.981
119.362	144.890	284.159
110.330	147.611	286.525
100.895	149.501	289.042
91.228	150.795	291.785
80.999	151.491	294.758
70.667	151.597	298.005
60.052	151.253	301.614
49.312	150.513	305.611
38.488	149.412	309.924
27.640	147.955	314.424
16.971	146.044	319.196
6.143	143.690	323.984
-4.419	140.856	328.851
-15.046	137.624	333.619
-25.361	133.824	338.279
-35.800	129.504	342.742
-46.049	124.820	346.922
-56.422	119.566	350.742
-66.396	113.952	354.307
-76.373	107.988	357.506
-86.255	101.655	360.406
-96.021	95.002	363.004
-105.551	88.021	365.296
-114.905	80.901	367.261
-124.070	73.524	368.947
-132.891	65.887	370.290
-141.158	58.306	371.251
-149.267	50.308	371.989
-156.734	42.159	372.339
-163.560	33.883	372.322
-169.746	25.503	371.959
-175.294	17.042	371.269
-180.205	8.525	370.274
-184.482	-0.027	368.994
-188.125	-8.588	367.450
-191.136	-17.137	365.663
-193.516	-25.649	363.653
-195.268	-34.101	361.440
-196.393	-42.470	359.047
-196.891	-50.733	356.492
-196.766	-58.866	353.797
-196.017	-66.845	350.983
-194.647	-74.648	348.069
-192.658	-82.250	345.078
-190.050	-89.630	342.029
-186.826	-96.762	338.943
-182.986	-103.625	335.840
-178.533	-110.194	332.742
-173.468	-116.446	329.669
-167.792	-122.357	326.642
-161.507	-127.905	323.681
-154.614	-133.066	320.807
-147.116	-137.817	318.040
-139.013	-142.134	315.402
-130.307	-145.994	312.912
-120.999	-149.373	310.593
-111.092	-152.248	308.463
-100.716	-154.504	306.343
-89.928	-156.206	304.531
-78.774	-157.400	302.819
-67.217	-158.155	301.081
-55.617	-158.405	299.804
-43.606	-158.215	298.518
-31.441	-157.573	297.360
-18.967	-156.621	296.323
-6.603	-155.246	295.441
5.958	-153.727	294.700
18.133	-152.121	294.213
30.743	-148.775	293.628
42.930	-145.613	293.521
55.208	-141.460	293.298
66.900	-137.747	293.388
78.643	-133.142	293.575
90.209	-127.873	293.849
101.472	-122.551	294.312
112.588	-116.503	294.894
123.298	-109.706	295.548
133.976	-102.646	296.449
144.000	-94.917	297.450
153.631	-87.020	298.687
162.880	-78.779	300.017
171.455	-70.218	301.702
179.149	-61.358	303.324
186.739	-52.375	305.164
193.739	-43.397	307.266
200.071	-34.436	309.375
205.601	-25.522	311.643
210.347	-16.670	314.054
214.324	-7.895	316.589
217.551	0.787	319.232
220.043	9.360	321.964
221.819	17.809	324.769
222.894	26.119	327.628
223.286	34.274	330.524
223.011	42.260	333.439
222.088	50.059	336.356
220.532	57.657	339.258
218.360	65.039	342.126
215.590	72.189	344.944
212.239	79.091	347.693
208.323	85.731	350.357
203.859	92.092	352.917
198.865	98.159	355.356
193.357	103.917	357.656
187.352	109.350	359.801
180.867	114.444	361.771
173.919	119.181	363.551
166.526	123.548	365.122
158.703	127.528	366.466
150.468	131.106	367.567
141.839	134.267	368.406
132.831	136.995	368.966
123.461	139.275	369.230
113.748	141.091	369.179
103.707	142.428	368.798
93.356	143.270	368.066
82.712	143.602	366.969
71.791	143.409	365.486
60.610	142.674	363.602
49.159	141.531	361.380
37.703	140.090	358.929
26.028	138.382	356.357
14.522	136.401	353.432
2.942	134.196	350.331
-8.373	131.509	346.992
-19.724	128.549	343.367
-30.830	125.269	339.579
-41.874	121.739	335.686
-52.719	117.783	331.730
-63.230	113.522	327.684
-73.630	108.968	323.621
-83.756	103.998	319.507
-93.402	98.698	315.403
-102.874	93.012	311.212
-111.684	86.962	307.008
-120.100	80.496	302.840
-128.035	73.678	298.766
-135.524	66.566	294.905
-142.426	59.098	291.215
-148.713	51.409	287.827
-154.527	43.382	284.758
-159.818	35.162	282.092
-164.347	26.847	279.888
-168.315	18.294	278.135
-171.516	9.873	276.888
-173.885	1.439	276.177
-175.508	-6.957	275.808
-176.387	-15.424	275.839
-176.353	-23.614	276.235
-175.499	-31.756	276.915
-173.640	-39.474	278.106
-171.493	-47.906	279.623
-168.708	-56.435	281.608
-165.203	-65.137	283.652
-160.668	-72.710	286.095
-155.878	-80.862	288.994
-149.919	-88.152	291.992
-143.651	-94.758	295.270
-136.930	-101.714	298.823
-129.785	-108.648	302.661
-122.106	-115.020	306.551
-113.817	-121.185	310.628
-105.250	-126.964	314.693
-96.155	-132.428	318.934
-86.904	-137.380	323.109
-77.185	-141.936	327.355
-67.273	-146.059	331.491
-56.902	-149.944	335.329
-46.300	-153.295	339.008
-35.621	-156.354	342.607
-24.870	-159.468	345.996
-14.185	-162.561	349.255
-2.565	-163.010	351.657
8.780	-164.225	354.143
20.200	-164.855	356.109
31.829	-165.455	357.828
43.717	-164.616	358.824
55.076	-165.158	359.962
66.331	-164.854	360.636
77.614	-163.847	360.903
88.573	-162.360	360.796
99.196	-160.476	360.370
109.454	-158.508	359.615
119.676	-156.248	358.566
129.510	-153.437	357.207
139.014	-150.144	355.511
148.088	-146.467	353.511
156.807	-142.590	351.345
165.104	-138.261	348.907
172.968	-133.666	346.325
180.317	-128.485	343.549
187.087	-122.861	340.603
193.435	-116.901	337.591
199.224	-110.453	334.516
204.261	-103.831	331.276
208.846	-96.698	327.916
212.575	-89.403	324.618
215.867	-81.798	321.482
218.522	-74.196	318.523
220.570	-66.225	315.583
221.904	-58.252	312.798
222.444	-50.161	310.139
222.207	-41.977	307.616
221.210	-33.723	305.242
219.472	-25.422	303.027
217.009	-17.098	300.983
213.839	-8.776	299.120
209.980	-0.478	297.450
205.449	7.772	295.984
200.264	15.950	294.733
194.442	24.032	293.709
188.000	31.995	292.922
180.957	39.814	292.383
173.330	47.468	292.104
165.135	54.931	292.097
156.392	62.179	292.371
146.962	68.621	292.793
137.263	75.095	293.444
127.200	81.332	294.291
116.949	87.256	295.285
