NO_OF_FRAMES	6000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2020-09-27, 17:14:59
DATA_INCLUDED	Position
DATA_TYPES	Mass_pos_X	Mass_pos_Y	Mass_pos_Z

Mass_pos_X	Mass_pos_Y	Mass_pos_Z	
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
83.598	-361.452	267.671
82.419	-355.235	275.371
80.719	-344.928	282.621
80.027	-331.029	288.931
78.673	-315.838	295.451
77.279	-299.517	302.114
75.324	-282.034	308.846
72.958	-263.283	315.489
70.202	-243.272	321.968
67.251	-222.519	328.426
63.866	-201.058	334.740
59.808	-180.510	341.461
57.648	-157.683	346.578
55.535	-137.372	351.126
53.672	-117.181	355.253
52.300	-98.137	358.481
51.149	-79.111	361.007
49.771	-59.807	362.447
48.031	-40.057	362.993
46.168	-20.264	362.639
44.399	-0.201	361.225
42.231	20.097	358.861
39.947	40.965	355.292
37.273	62.445	350.601
34.209	85.468	344.827
30.854	109.329	338.836
27.455	133.609	333.369
24.071	156.759	329.157
21.686	179.598	325.577
17.830	202.504	322.822
14.783	223.007	319.156
12.418	241.250	314.747
10.608	257.377	309.761
9.229	271.535	304.363
8.153	283.866	298.722
7.254	294.516	293.001
6.407	303.629	287.369
5.485	311.350	281.992
4.362	317.823	277.035
2.912	323.193	272.665
1.009	327.605	269.048
-1.473	331.203	266.351
-4.661	334.131	264.740
-8.679	336.534	264.381
-13.656	338.557	265.440
-19.716	340.345	268.085
-25.516	340.990	273.248
-27.639	338.930	279.409
-26.271	334.963	285.088
-22.366	329.652	289.897
-19.131	321.912	294.035
-16.509	311.965	297.614
-14.444	300.030	300.742
-12.878	286.328	303.528
-11.755	271.079	306.084
-11.019	254.501	308.517
-10.611	236.816	310.938
-10.475	218.244	313.456
-10.555	199.004	316.181
-10.793	179.317	319.222
-11.132	159.402	322.689
-11.517	139.479	326.692
-11.888	119.769	331.339
-12.181	100.349	336.022
-12.510	81.204	340.449
-12.487	62.473	343.995
-12.271	44.064	346.910
-10.633	25.690	348.927
-8.248	7.440	350.201
-5.529	-10.792	350.730
-2.649	-29.262	350.279
-0.627	-48.056	348.665
0.538	-67.272	345.833
1.484	-87.148	341.527
2.079	-107.600	335.852
4.076	-128.077	328.907
4.166	-155.043	321.114
6.777	-176.211	313.661
11.734	-199.022	306.982
18.529	-223.411	302.371
23.450	-248.467	299.995
28.714	-271.604	299.471
31.672	-291.502	298.580
32.964	-308.680	295.346
33.586	-322.671	290.920
33.369	-332.486	285.267
33.445	-335.201	277.030
31.318	-334.034	270.171
29.527	-332.357	266.226
31.421	-332.481	264.778
33.468	-333.332	264.315
35.181	-334.964	263.906
35.889	-336.932	263.191
36.933	-339.575	262.079
39.316	-343.527	263.153
42.651	-348.054	265.948
46.550	-352.420	270.001
50.627	-355.891	274.848
54.493	-357.731	280.024
57.764	-357.206	285.068
60.050	-353.581	289.513
60.965	-346.120	292.898
60.123	-334.089	294.757
57.135	-316.753	294.627
54.757	-297.857	296.715
51.575	-276.642	300.237
49.401	-255.523	305.782
48.559	-236.593	312.660
48.209	-218.763	319.524
47.629	-201.375	325.517
46.363	-185.515	330.390
45.347	-169.347	334.416
45.052	-150.349	337.740
43.388	-136.257	341.286
43.418	-121.237	343.515
44.763	-105.342	344.923
46.559	-89.390	346.032
49.016	-73.286	346.343
50.645	-56.406	346.166
52.324	-38.686	345.088
53.026	-20.139	342.663
52.815	-1.164	338.853
52.321	18.113	334.089
51.775	37.237	328.874
50.760	56.739	323.414
49.522	76.932	317.980
48.279	97.318	312.966
47.774	117.321	308.497
46.606	137.034	305.233
44.879	156.241	302.779
42.701	174.728	300.742
40.176	192.279	298.728
37.412	208.680	296.343
34.513	223.715	293.193
31.585	237.169	288.884
28.735	248.829	283.024
26.069	258.477	275.217
26.298	266.509	266.098
30.201	271.207	257.316
32.824	274.251	251.060
32.785	278.672	247.253
31.941	283.260	245.058
30.287	287.657	244.283
27.817	291.504	244.740
23.908	296.130	246.890
19.290	299.791	250.539
15.714	301.769	255.091
13.131	301.149	259.122
11.394	298.145	262.741
10.358	292.973	266.059
9.875	285.849	269.183
9.800	276.988	272.225
9.987	266.606	275.292
10.288	254.918	278.495
10.558	242.141	281.944
10.650	228.489	285.746
10.418	214.179	290.013
9.716	199.426	294.853
8.397	184.445	300.376
6.315	169.453	306.692
4.448	155.335	313.567
3.037	142.874	320.692
0.680	128.162	328.119
-2.908	114.704	335.957
-7.033	100.995	344.135
-9.727	86.867	351.187
-10.677	72.010	356.249
-11.935	56.637	360.271
-12.466	40.964	362.890
-13.154	25.174	363.715
-14.844	8.587	363.082
-16.957	-8.139	361.161
-18.937	-25.009	357.836
-19.694	-41.963	353.641
-20.397	-59.078	348.534
-20.502	-76.732	342.311
-20.521	-94.901	335.232
-18.819	-113.918	327.518
-17.788	-133.101	319.497
-17.150	-153.580	311.460
-14.475	-172.841	303.409
-10.923	-195.624	297.200
-8.214	-218.415	293.242
-5.242	-239.264	290.768
-5.453	-254.755	286.721
-7.018	-265.624	280.672
-9.510	-272.822	273.352
-14.253	-276.401	266.070
-21.228	-276.622	260.227
-22.853	-279.010	256.406
-23.078	-282.724	253.589
-22.286	-286.859	250.721
-20.855	-291.020	247.848
-18.479	-295.108	245.138
-15.687	-298.885	242.809
-12.529	-302.881	240.992
-9.162	-306.784	239.753
-4.875	-311.139	239.891
4.672	-317.805	242.531
7.112	-319.918	245.946
9.242	-320.278	250.582
11.127	-316.028	254.110
12.805	-306.531	255.385
10.791	-291.614	255.681
8.777	-274.643	257.650
8.739	-258.443	262.060
8.777	-243.057	268.107
10.148	-229.187	274.740
11.653	-216.134	281.120
13.485	-203.727	286.835
15.542	-191.550	291.945
18.156	-179.445	296.669
21.542	-167.158	301.290
25.010	-156.357	306.470
30.994	-139.006	310.798
33.671	-128.806	317.014
37.868	-115.470	322.101
42.187	-100.569	326.267
45.790	-85.620	330.174
49.412	-69.713	332.886
52.641	-52.802	334.802
55.624	-34.972	336.073
58.579	-16.504	336.619
60.753	2.207	337.098
62.240	21.040	337.454
63.130	39.875	337.634
63.518	58.593	337.582
63.496	77.072	337.243
63.155	95.193	336.562
62.590	112.835	335.485
61.891	129.878	333.956
61.153	146.202	331.921
60.467	161.687	329.325
59.927	176.212	326.112
59.623	189.657	322.229
59.651	201.902	317.620
60.100	212.827	312.230
61.066	222.311	306.005
62.639	230.234	298.889
64.913	236.476	290.828
68.355	241.040	284.198
70.923	245.273	279.612
72.110	250.646	276.887
72.326	255.887	275.530
71.687	260.836	275.347
70.312	265.332	276.142
68.317	269.215	277.721
65.820	272.327	279.889
62.938	274.507	282.450
59.788	275.595	285.208
56.488	275.432	287.971
53.154	273.857	290.541
49.905	270.711	292.724
46.857	265.834	294.324
44.128	259.066	295.148
42.164	250.960	294.734
41.953	240.617	293.458
42.893	228.186	292.813
41.945	214.813	293.784
39.808	201.477	295.936
36.936	189.374	299.021
33.692	176.911	302.753
30.129	164.826	307.186
26.510	153.540	312.347
22.733	142.598	318.167
17.373	131.073	324.330
11.402	118.163	330.276
5.491	104.543	335.340
0.422	90.174	338.978
-4.494	75.119	341.812
-9.601	59.743	343.122
-13.557	43.556	343.203
-17.634	27.003	342.177
-21.463	9.981	340.257
-25.176	-7.427	337.674
-28.466	-24.840	334.350
-30.809	-43.337	330.699
-32.387	-62.558	326.741
-33.379	-82.146	322.499
-33.967	-101.742	317.993
-34.330	-120.988	313.247
-34.650	-139.526	308.282
-35.106	-156.997	303.119
-35.880	-173.042	297.780
-37.152	-187.305	292.288
-39.103	-199.425	286.663
-41.913	-209.045	280.928
-45.968	-215.963	275.140
-50.659	-221.056	270.188
-53.906	-226.407	266.570
-56.413	-232.171	264.198
-57.929	-238.890	262.528
-59.471	-245.989	261.082
-60.678	-253.061	259.335
-61.432	-259.959	257.436
-61.616	-266.539	255.533
-61.114	-272.655	253.776
-59.810	-278.162	252.315
-57.586	-282.915	251.297
-54.326	-286.768	250.873
-49.913	-289.577	251.192
-45.510	-290.871	252.586
-41.986	-290.512	254.844
-39.080	-286.993	256.792
-36.321	-279.719	258.290
-32.885	-270.728	260.615
-30.618	-260.107	264.419
-28.982	-249.331	269.695
-27.155	-239.322	275.860
-25.126	-229.754	282.114
-23.208	-220.278	287.956
-21.022	-210.819	293.167
-18.845	-201.141	298.127
-15.806	-191.348	302.839
-12.024	-181.309	307.329
-7.619	-170.893	311.622
-2.713	-159.969	315.743
2.577	-148.408	319.718
8.130	-136.078	323.571
13.825	-122.848	327.328
18.956	-109.477	330.850
23.368	-94.690	333.280
27.394	-79.336	335.281
31.753	-63.462	336.705
35.668	-46.812	337.485
41.223	-30.494	337.423
46.891	-13.600	336.765
51.747	1.345	335.379
56.700	17.322	333.500
60.625	33.837	331.293
64.128	50.768	328.907
67.670	67.119	326.136
70.961	82.710	323.440
74.003	97.539	320.824
76.796	111.606	318.294
79.343	124.911	315.855
81.645	137.454	313.513
83.704	149.234	311.273
85.521	160.250	309.141
87.097	170.503	307.122
88.434	179.991	305.222
89.533	188.714	303.446
90.397	196.672	301.799
91.026	203.865	300.287
91.422	210.291	298.916
91.586	215.951	297.690
91.520	220.844	296.616
91.226	224.969	295.699
90.705	228.327	294.944
89.958	230.916	294.356
88.987	232.737	293.942
87.793	233.788	293.707
86.378	234.070	293.655
84.744	233.582	293.793
82.891	232.324	294.127
80.822	230.294	294.660
78.537	227.493	295.400
76.039	223.920	296.351
73.329	219.575	297.519
70.408	214.458	298.909
67.278	208.567	300.527
63.940	201.903	302.378
60.396	194.464	304.468
56.647	186.251	306.802
52.695	177.264	309.386
48.541	167.501	312.225
44.187	156.962	315.324
39.635	145.647	318.689
34.885	133.555	322.326
29.939	120.687	326.240
24.799	107.040	330.436
19.481	93.210	334.125
15.071	78.642	337.249
10.599	63.756	339.949
6.635	49.784	342.266
2.795	35.890	344.140
-1.284	21.567	345.306
-5.414	7.134	345.073
-9.556	-8.160	343.772
-14.846	-23.286	341.328
-20.355	-37.974	338.084
-25.537	-53.444	334.243
-30.370	-67.447	329.960
-34.992	-81.125	325.061
-39.918	-94.547	319.639
-44.938	-106.989	313.684
-51.563	-123.185	308.247
-56.702	-134.742	302.432
-61.899	-146.126	296.977
-67.095	-156.734	291.790
-72.713	-166.831	286.894
-77.361	-177.090	282.138
-81.417	-187.244	277.492
-84.817	-197.229	272.847
-87.853	-207.048	268.191
-90.085	-216.655	263.371
-91.426	-225.704	258.570
-91.790	-233.850	253.972
-91.087	-240.748	249.762
-89.422	-246.405	246.025
-87.559	-250.894	243.001
-86.228	-254.449	240.694
-84.791	-257.010	238.961
-84.344	-258.264	237.884
-83.438	-258.949	237.486
-82.727	-258.713	237.853
-81.621	-257.110	238.787
-79.731	-254.290	240.184
-77.991	-250.039	242.160
-75.188	-245.373	244.573
-72.285	-240.024	247.523
-69.084	-234.240	250.836
-64.387	-228.509	254.201
-59.797	-221.759	257.837
-53.599	-215.035	261.502
-46.620	-207.584	265.420
-38.739	-199.604	269.665
-30.766	-190.262	274.195
-23.615	-179.355	278.977
-17.057	-167.441	284.018
-11.528	-154.742	289.222
-7.587	-144.480	295.137
-1.821	-128.064	299.852
2.778	-114.397	305.075
7.677	-100.998	310.187
12.815	-88.016	314.960
18.660	-74.670	319.165
25.287	-61.400	322.508
32.302	-48.409	324.809
39.234	-35.156	326.546
45.904	-21.843	327.288
52.066	-8.393	327.482
58.227	5.374	326.800
64.211	18.867	325.360
70.354	32.227	323.152
76.627	46.009	320.800
82.952	59.903	318.361
89.296	74.007	315.924
95.996	88.406	313.136
102.101	101.921	310.370
107.452	115.201	307.770
112.112	128.135	305.288
116.143	140.612	302.881
119.607	152.520	300.501
122.568	163.748	298.104
125.088	174.183	295.642
127.230	183.715	293.071
129.055	192.230	290.346
130.628	199.619	287.419
132.010	205.769	284.245
133.265	210.569	280.779
134.454	213.907	276.974
135.289	217.014	274.091
135.919	219.809	272.043
135.671	222.568	271.028
134.939	224.783	270.897
133.720	226.385	271.534
132.012	227.304	272.823
129.811	227.470	274.649
127.116	226.813	276.896
123.922	225.264	279.448
120.229	222.753	282.190
116.032	219.211	285.006
111.329	214.566	287.780
106.118	208.751	290.397
100.396	201.694	292.741
94.159	193.327	294.695
87.406	183.580	296.146
81.136	173.240	297.584
75.602	162.463	299.410
70.712	151.600	301.706
66.054	140.740	304.443
61.071	129.911	307.829
55.366	119.183	311.527
49.435	108.275	315.342
42.920	97.414	319.227
36.127	86.484	323.025
29.078	75.136	326.557
21.642	63.559	329.582
13.703	51.632	331.998
5.414	39.499	333.565
-2.945	27.303	334.461
-11.653	14.532	334.585
-19.764	1.653	334.059
-28.181	-11.594	332.753
-35.902	-24.503	330.575
-42.962	-37.935	327.513
-49.963	-51.949	323.786
-56.960	-66.901	319.543
-63.369	-81.861	315.084
-69.235	-96.662	310.484
-74.606	-111.138	305.814
-79.527	-125.122	301.149
-84.044	-138.448	296.561
-88.204	-150.948	292.124
-92.052	-162.457	287.911
-95.634	-172.807	283.995
-98.997	-181.832	280.451
-102.187	-189.366	277.350
-105.250	-195.241	274.767
-107.565	-200.644	272.695
-110.313	-205.743	271.220
-112.528	-210.932	270.088
-114.656	-215.468	268.974
-116.532	-219.985	267.939
-117.703	-224.172	266.954
-117.670	-228.763	266.347
-116.613	-233.416	266.097
-114.715	-237.788	266.187
-112.159	-241.535	266.596
-109.126	-244.315	267.305
-105.798	-245.785	268.294
-102.358	-245.602	269.544
-98.987	-243.422	271.036
-95.868	-238.903	272.751
-93.183	-231.701	274.668
-89.473	-223.102	277.175
-84.999	-213.695	280.459
-79.544	-204.599	284.511
-74.080	-195.657	288.869
-68.872	-186.843	293.135
-63.482	-178.247	297.249
-58.274	-169.776	301.187
-52.494	-161.776	304.821
-46.587	-153.375	308.271
-40.685	-144.732	311.710
-33.984	-137.002	315.000
-25.347	-125.524	317.426
-17.682	-116.146	320.270
-9.378	-105.754	322.547
-0.971	-95.991	324.556
7.842	-84.849	325.871
17.203	-73.141	326.359
26.602	-60.652	326.416
35.675	-47.332	325.936
44.278	-33.710	324.948
52.615	-20.556	323.293
60.496	-7.255	321.356
67.945	6.100	319.139
74.985	19.414	316.641
81.640	32.592	313.864
87.932	45.538	310.810
93.885	58.159	307.478
99.523	70.359	303.870
104.868	82.044	299.987
109.943	93.118	295.829
114.772	103.487	291.398
119.379	113.056	286.695
123.785	121.731	281.720
