NO_OF_FRAMES	6000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2020-09-27, 19:06:53
DATA_INCLUDED	Position
DATA_TYPES	Mass_pos_X	Mass_pos_Y	Mass_pos_Z

Mass_pos_X	Mass_pos_Y	Mass_pos_Z	
43.384	-227.075	205.017
43.382	-227.132	205.028
43.396	-227.096	205.022
43.446	-227.134	205.029
43.353	-227.090	205.020
43.483	-227.209	205.029
43.380	-227.247	205.030
43.397	-227.155	205.026
43.411	-227.162	205.025
43.490	-227.171	205.039
43.484	-227.153	205.054
43.570	-227.180	205.072
43.568	-227.179	205.072
43.515	-227.240	205.073
43.648	-227.244	205.068
43.656	-227.161	205.050
43.729	-227.209	205.048
43.777	-227.102	205.042
43.825	-227.138	205.056
43.921	-227.083	205.064
43.940	-227.019	205.058
44.091	-227.019	205.058
44.192	-226.979	205.038
44.428	-226.816	205.025
44.620	-226.877	205.038
44.819	-226.927	205.045
45.117	-226.851	205.043
45.341	-226.769	205.047
45.645	-226.723	205.063
46.056	-226.685	205.103
46.442	-226.476	205.119
47.043	-226.339	205.182
47.841	-226.165	205.263
48.764	-225.773	205.323
49.630	-225.310	205.398
50.832	-224.945	205.499
52.320	-224.003	205.549
53.962	-223.086	205.611
56.009	-221.730	205.625
58.080	-220.018	205.599
60.437	-217.849	205.494
63.235	-215.221	205.310
66.034	-212.130	205.031
69.121	-208.328	204.569
72.744	-203.762	203.933
76.488	-198.561	203.121
80.631	-192.712	202.135
85.105	-186.138	200.948
89.873	-178.962	199.631
94.951	-170.838	198.145
100.139	-161.980	196.590
105.383	-152.585	194.973
109.673	-146.127	193.710
116.514	-130.516	192.228
121.673	-119.406	191.346
116.983	-102.502	189.147
119.767	-88.523	189.279
134.700	-79.033	192.604
133.870	-63.446	193.351
140.489	-50.732	196.568
145.057	-37.580	200.009
149.144	-24.644	203.927
152.758	-11.931	208.294
155.904	0.551	213.082
158.588	12.795	218.264
160.816	24.792	223.812
162.593	36.534	229.699
163.925	48.015	235.897
164.820	59.225	242.378
165.281	70.157	249.116
165.316	80.803	256.082
164.930	91.155	263.248
164.129	101.205	270.588
162.920	110.945	278.074
161.307	120.368	285.678
159.297	129.466	293.372
156.896	138.230	301.130
154.109	146.653	308.922
150.944	154.726	316.723
147.404	162.443	324.504
143.498	169.795	332.237
139.229	176.774	339.896
134.605	183.372	347.452
129.631	189.582	354.878
124.313	195.395	362.146
118.657	200.804	369.229
112.669	205.800	376.099
106.355	210.377	382.729
99.721	214.525	389.091
92.772	218.237	395.158
85.515	221.506	400.902
77.955	224.323	406.294
70.099	226.680	411.309
61.952	228.570	415.918
53.520	229.984	420.093
44.810	230.915	423.808
35.826	231.355	427.034
26.576	231.296	429.743
17.064	230.729	431.910
7.297	229.648	433.505
-2.719	228.045	434.501
-12.978	225.910	434.870
-23.475	223.238	434.586
-34.204	220.018	433.620
-45.158	216.245	431.946
-53.657	210.582	426.294
-62.276	204.099	419.694
-72.042	197.311	412.991
-83.101	190.286	405.972
-92.201	182.434	397.959
-99.938	174.003	389.295
-106.727	165.095	380.225
-112.430	156.441	371.093
-117.227	147.587	361.810
-121.180	138.639	352.532
-124.330	129.814	343.276
-126.632	121.164	334.067
-128.649	112.077	324.935
-130.172	102.639	315.859
-131.035	93.257	306.830
-131.724	83.261	297.871
-131.764	72.983	288.865
-131.890	62.243	279.879
-131.240	51.156	270.816
-130.272	39.886	261.731
-129.154	27.791	252.636
-127.572	14.896	243.502
-125.656	0.712	234.446
-123.617	-13.686	226.030
-121.070	-27.860	218.450
-117.887	-40.535	211.522
-115.561	-55.964	205.824
-111.470	-68.468	200.803
-105.882	-78.537	196.364
-100.216	-89.129	192.797
-93.837	-98.782	190.112
-87.082	-107.905	188.377
-79.885	-116.482	187.307
-71.943	-124.925	186.872
-64.070	-133.193	187.127
-56.122	-141.691	187.948
-48.309	-150.170	189.400
-40.470	-158.598	191.296
-32.437	-167.035	193.854
-24.811	-175.054	197.254
-16.718	-182.893	201.510
-8.169	-189.829	206.614
0.566	-195.618	212.528
9.308	-199.911	219.100
18.840	-202.919	226.129
28.174	-204.364	233.707
37.466	-204.403	241.753
47.066	-203.756	250.320
56.527	-202.221	259.324
66.008	-200.262	268.714
75.212	-198.063	278.317
84.255	-195.866	287.958
92.860	-193.370	297.507
100.335	-193.487	307.110
108.650	-189.829	316.307
118.269	-180.292	324.532
124.379	-181.945	334.137
130.975	-179.914	343.433
137.652	-175.733	352.214
143.734	-171.795	360.911
149.399	-167.466	369.311
154.653	-161.765	376.843
159.397	-155.468	383.389
163.699	-148.627	388.866
167.723	-141.082	393.787
171.736	-133.265	397.596
176.620	-125.506	400.557
181.700	-117.856	402.397
187.526	-110.052	403.329
193.211	-102.306	403.455
198.648	-94.206	402.520
203.554	-86.331	400.833
208.111	-78.450	398.160
212.425	-70.726	394.610
