NO_OF_FRAMES	6000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2020-09-27, 09:59:13
DATA_INCLUDED	Velocity
DATA_TYPES	Mass_vel_X	Mass_vel_Y	Mass_vel_Z

Mass_vel_X	Mass_vel_Y	Mass_vel_Z	
0.000	0.000	0.000
-5.244	-12.153	-677.059
-18.397	-4.812	-661.004
-17.470	-3.907	-649.178
-8.606	-10.375	-631.684
-14.144	-12.258	-610.611
-18.924	-10.361	-584.667
-14.557	-5.953	-560.713
-8.823	-9.198	-535.300
-10.051	-10.602	-498.593
-19.946	-8.887	-458.491
-19.800	-8.668	-420.526
-18.849	-2.905	-383.791
-18.368	-4.017	-344.697
-21.222	-7.897	-297.874
-24.266	-6.680	-253.762
-24.946	-1.665	-208.604
-23.579	-1.886	-163.198
-23.159	-0.939	-117.276
-22.632	-0.026	-70.746
-19.041	-0.461	-24.339
-22.811	-0.220	31.147
-22.161	-1.350	79.032
-22.346	0.227	126.949
-21.826	0.459	171.179
-19.118	1.251	214.888
-23.282	0.723	268.725
-24.461	2.216	308.479
-15.248	4.081	343.301
-15.126	3.393	385.862
-24.718	7.607	430.188
-16.548	7.556	462.737
-16.471	3.137	498.644
-26.051	6.102	538.058
-19.476	7.238	562.988
-8.469	8.128	586.515
-16.786	10.457	614.312
-24.107	9.058	638.944
-12.714	5.769	653.130
-7.194	9.162	663.903
-14.681	11.934	678.454
-13.291	8.693	686.459
-9.950	12.776	689.346
-11.313	10.488	690.209
-10.168	10.738	689.664
-4.213	10.717	685.347
-1.541	9.910	674.017
-6.965	14.981	664.642
-3.181	15.815	649.285
2.559	23.861	632.755
-4.760	17.373	612.450
-9.082	5.390	583.583
3.099	7.502	552.309
3.611	14.827	525.237
1.864	13.742	492.779
-2.991	8.559	455.739
-6.333	10.761	421.928
9.546	9.800	383.187
9.497	9.034	341.861
-7.513	15.152	302.096
-3.818	20.959	259.607
4.910	8.848	209.666
6.380	4.465	158.780
3.029	7.501	112.061
8.767	1.602	63.992
12.801	5.457	15.829
3.815	13.558	-31.752
11.757	14.765	-80.525
10.634	11.218	-126.184
6.800	13.632	-174.782
13.758	9.214	-221.978
14.902	1.826	-265.255
17.540	2.085	-310.542
11.512	3.727	-352.405
9.980	5.429	-393.550
16.897	2.895	-436.669
17.363	5.101	-473.250
9.580	1.607	-502.694
10.653	-1.097	-536.331
