NO_OF_FRAMES	12000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2020-09-26, 14:41:23
DATA_INCLUDED	Velocity
DATA_TYPES	Mass_vel_X	Mass_vel_Y	Mass_vel_Z

Mass_vel_X	Mass_vel_Y	Mass_vel_Z	
0.000	0.000	0.000
7.192	-4.807	-934.825
6.725	-1.099	-955.700
14.275	-2.683	-972.413
24.707	-5.418	-981.044
38.960	-2.451	-985.721
51.487	-1.089	-987.656
65.457	-6.026	-985.589
78.549	-6.647	-983.241
84.157	-30.424	-977.314
90.420	-42.226	-965.238
94.608	-27.796	-944.462
85.340	-20.838	-911.427
67.048	-10.972	-873.867
44.882	1.784	-831.561
24.179	2.393	-786.825
11.728	-13.493	-743.156
11.904	-24.027	-699.150
19.889	-23.532	-650.853
27.728	-14.782	-596.202
37.916	0.222	-533.802
46.585	18.702	-467.856
54.652	29.998	-404.425
67.418	41.940	-337.952
75.009	53.552	-269.250
78.140	53.853	-204.147
74.089	49.178	-137.818
60.403	37.200	-72.111
47.413	21.763	-6.896
41.710	5.306	55.419
47.211	-11.895	110.268
47.459	-21.375	171.191
45.340	-17.245	238.773
49.372	-7.615	310.314
45.167	11.003	384.159
34.077	35.004	457.391
28.564	60.536	527.982
25.084	72.300	589.991
20.448	59.617	641.209
5.212	47.218	689.548
-9.586	43.751	738.022
-6.748	40.067	781.840
-5.696	38.687	822.573
-8.763	35.412	858.287
-5.708	32.691	885.809
6.288	30.563	913.529
8.601	31.323	938.145
12.879	34.718	954.917
25.088	33.855	969.620
16.344	41.658	985.115
13.956	55.498	995.882
19.631	54.663	995.755
20.752	35.573	986.386
11.929	24.119	975.959
-3.763	20.046	962.472
-10.909	15.782	943.184
-26.334	15.987	923.505
-35.320	18.668	900.532
-39.258	29.648	873.871
-44.179	35.664	841.471
-55.656	26.899	801.393
-59.205	26.884	755.616
-49.271	31.076	707.653
-51.941	35.154	658.807
-48.870	38.757	606.733
-40.217	37.220	545.406
-34.084	30.798	478.685
-31.911	27.697	404.733
-28.526	24.921	322.587
-29.237	22.150	243.222
-29.475	20.454	161.957
-24.359	17.550	75.318
-27.053	19.665	-9.572
-26.171	16.704	-96.206
-27.372	14.422	-178.265
-32.051	15.347	-256.263
-32.332	11.328	-338.304
-32.773	3.930	-415.307
-36.027	2.234	-484.495
-40.760	2.265	-547.264
-41.020	2.818	-605.246
-36.935	6.410	-658.469
-36.902	10.174	-706.263
-38.047	12.375	-751.104
-42.160	16.506	-789.732
-42.441	19.367	-825.517
-45.591	21.128	-856.336
-57.541	26.932	-879.095
-59.849	26.387	-903.769
-56.318	16.928	-932.092
-56.085	8.560	-955.776
-56.574	-0.867	-976.187
-55.897	-13.288	-991.065
-50.488	-23.282	-996.781
-46.846	-23.066	-991.853
-45.192	-26.182	-984.248
-37.154	-37.845	-977.622
-25.201	-46.553	-962.315
-16.296	-59.582	-946.300
-10.464	-58.871	-925.873
-6.506	-48.105	-893.788
-1.558	-39.208	-856.592
-1.247	-29.812	-815.003
-3.729	-29.217	-769.766
-9.266	-24.958	-719.943
-15.257	-19.093	-668.891
-13.140	-23.541	-617.872
-23.383	-30.856	-559.052
-31.750	-31.038	-494.609
-29.384	-26.255	-430.210
-24.543	-27.440	-368.928
-21.828	-33.253	-305.676
-13.648	-40.911	-249.271
0.847	-54.584	-197.168
9.822	-67.403	-136.716
14.600	-72.071	-68.460
16.644	-75.777	5.036
19.285	-72.950	75.515
22.958	-76.024	142.401
29.634	-78.119	208.482
33.563	-63.760	279.412
33.722	-51.156	352.173
33.762	-33.609	421.349
33.448	-23.173	485.007
31.571	-20.698	543.147
29.902	-20.996	598.401
26.919	-23.027	650.442
23.019	-26.978	698.021
15.094	-41.064	745.096
10.010	-52.052	790.962
16.109	-44.258	833.590
21.854	-38.288	871.082
30.006	-44.997	895.559
38.956	-50.247	913.014
45.645	-54.970	929.972
53.033	-53.444	946.825
53.558	-48.809	960.197
58.255	-45.342	965.863
66.132	-40.773	969.374
66.370	-36.285	972.666
63.586	-32.715	970.139
59.198	-27.290	962.759
55.853	-18.300	955.695
47.555	-6.993	945.557
49.050	13.783	924.412
48.667	28.003	897.028
34.383	23.727	866.569
29.480	3.817	824.026
30.592	-3.604	776.620
35.464	1.710	725.841
37.213	-0.474	673.843
28.697	5.370	624.834
32.051	-0.547	563.816
36.448	-12.078	499.194
34.697	-14.294	431.877
34.188	-15.551	354.931
29.968	-12.104	277.877
32.307	-9.440	200.672
33.507	-11.126	124.734
34.366	-4.552	41.199
37.046	2.557	-45.060
35.693	-5.609	-126.322
35.247	-11.061	-206.946
35.368	-10.128	-283.832
33.347	-14.919	-356.572
35.646	-13.005	-430.804
36.689	-10.375	-500.747
34.945	-7.888	-558.829
33.979	8.184	-609.488
31.647	25.339	-658.958
29.971	38.074	-703.025
23.415	48.482	-745.329
18.304	60.189	-782.545
14.667	81.750	-810.337
-0.164	91.899	-842.329
-9.851	93.588	-867.604
-9.334	83.367	-891.612
-20.093	66.328	-914.623
-21.057	61.358	-935.610
-19.884	48.491	-957.235
-21.964	31.427	-972.690
-9.657	24.398	-985.983
-10.936	11.011	-989.716
-13.434	-8.721	-984.776
-11.385	-26.579	-980.132
-7.138	-25.608	-968.500
-2.006	-12.426	-943.799
-7.429	-5.816	-914.283
-11.398	9.390	-880.589
-19.006	27.333	-837.572
-25.886	46.837	-790.460
-27.782	64.218	-740.761
-32.775	77.218	-687.814
-36.940	85.695	-636.563
-40.420	84.984	-583.799
-44.523	82.668	-527.375
-54.085	87.316	-464.194
-64.050	87.397	-401.475
-60.741	79.590	-345.091
-62.727	69.440	-283.680
-63.872	49.376	-229.915
-56.990	26.193	-180.751
-59.040	4.222	-120.356
-57.246	-13.868	-58.141
-49.692	-18.711	7.425
-48.249	-21.482	75.869
-48.326	-22.046	146.014
-44.599	-7.245	219.024
-42.600	18.892	291.273
-42.378	41.889	363.854
-48.855	62.003	438.594
-62.219	70.179	508.231
-66.833	67.440	568.182
-65.073	66.193	619.879
-73.032	64.165	671.884
-72.699	54.353	720.521
-64.023	43.138	763.024
-63.177	40.087	804.120
-59.381	26.363	833.639
-57.139	0.703	859.313
-53.320	-15.672	885.200
-51.126	-23.277	904.052
-40.314	-32.191	914.879
-33.468	-40.538	928.178
-40.868	-50.380	942.668
-38.792	-49.300	950.090
-31.559	-35.538	957.484
-25.512	-27.295	962.759
-26.753	-20.595	963.874
-27.208	-3.052	961.012
-20.834	9.844	948.784
-23.550	14.686	935.364
-25.470	14.807	917.993
-24.939	16.872	892.623
-24.649	30.672	863.193
-23.931	35.310	824.367
-24.669	28.048	779.781
-20.992	16.160	729.907
-19.458	5.691	674.713
-17.733	-6.923	614.238
-12.425	-23.257	548.578
-12.082	-37.121	479.634
-9.416	-46.610	403.994
-3.762	-54.899	327.571
-7.907	-56.685	254.237
-3.174	-56.643	177.998
-2.192	-58.255	98.226
-5.514	-56.846	19.660
5.028	-59.707	-58.958
3.048	-59.110	-140.314
-6.555	-52.318	-218.636
2.587	-52.916	-292.810
5.884	-55.834	-366.400
14.061	-56.504	-440.060
25.916	-56.987	-510.821
25.215	-41.329	-565.664
22.358	-33.929	-616.888
11.377	-36.920	-663.220
10.025	-29.696	-701.960
9.910	-10.959	-742.883
7.573	14.668	-774.966
6.675	24.850	-806.674
1.746	21.360	-833.052
3.170	22.117	-855.794
3.384	28.604	-879.726
7.497	27.927	-902.772
21.730	14.274	-928.560
25.402	-1.325	-946.787
31.764	-22.345	-964.661
46.212	-40.650	-980.375
52.988	-51.409	-988.644
54.799	-64.371	-988.668
53.496	-89.875	-980.773
50.856	-107.042	-967.844
55.576	-93.927	-943.465
57.908	-79.826	-913.308
54.231	-58.075	-874.343
59.066	-28.814	-827.178
60.361	-7.918	-781.896
50.421	2.011	-731.483
42.951	3.855	-679.759
44.291	10.136	-630.092
49.088	21.479	-572.629
50.074	30.942	-513.239
50.276	35.260	-456.494
49.058	37.752	-394.294
49.429	34.629	-333.834
52.361	23.881	-279.924
58.828	5.817	-228.870
60.998	-14.169	-175.307
65.354	-32.257	-117.694
73.373	-49.315	-56.917
75.832	-62.295	8.898
76.850	-68.105	74.218
76.775	-59.645	140.477
72.757	-42.672	212.040
60.742	-20.973	293.932
52.334	7.996	368.547
44.711	43.900	435.457
33.677	72.527	506.756
30.613	85.784	572.321
31.808	87.538	629.071
28.729	71.348	674.943
27.365	54.547	716.806
31.904	47.970	761.304
37.443	47.391	799.920
43.662	38.947	826.773
38.741	16.765	851.242
32.220	-8.227	873.688
32.911	-23.737	890.018
34.249	-26.529	906.833
34.556	-25.005	919.682
33.896	-21.554	929.883
28.008	-17.240	940.938
17.533	-6.222	947.730
16.078	4.039	953.456
10.564	9.628	956.390
5.942	24.890	950.517
0.224	45.224	939.326
-7.810	67.557	931.567
-12.557	84.363	913.171
-17.681	85.628	883.529
-24.663	73.482	854.243
-25.887	73.452	818.269
-21.558	82.535	778.454
-17.080	77.596	727.947
-15.715	69.846	675.859
-14.803	59.558	617.590
-9.628	46.539	551.224
-5.471	33.346	477.534
-0.806	20.254	399.549
2.226	12.965	328.034
0.351	10.641	252.958
-6.031	5.821	173.135
-9.022	0.455	92.760
-12.320	-3.012	15.831
-17.902	-3.341	-64.648
-24.007	-2.729	-144.430
-28.478	-2.887	-217.725
-29.527	-0.921	-290.275
-32.884	0.170	-364.130
-32.627	-2.296	-435.930
-26.159	2.250	-501.495
-26.056	11.338	-559.950
-36.703	5.190	-610.875
-49.879	1.617	-655.918
-59.740	12.209	-697.754
-70.461	22.428	-735.905
-79.331	38.478	-769.228
-87.325	49.884	-800.249
-102.122	43.207	-827.610
-108.235	45.508	-849.658
-100.425	58.441	-869.303
-92.111	57.391	-886.319
-81.155	48.296	-907.374
-60.990	37.431	-929.204
-38.116	21.617	-946.521
-22.223	4.517	-961.133
-8.820	-9.278	-972.879
3.873	-27.516	-976.456
13.046	-32.863	-971.279
12.334	-37.254	-959.692
-1.974	-69.299	-941.415
-16.940	-75.477	-914.539
-28.773	-57.116	-877.138
-43.524	-46.169	-832.846
-64.399	-31.850	-781.680
-72.724	-20.491	-728.747
-69.122	-10.424	-673.990
-65.475	0.351	-615.968
-61.763	8.744	-564.050
-59.832	9.339	-511.783
-61.390	5.215	-456.183
-64.987	-3.420	-398.349
-59.337	-8.534	-339.035
-43.905	-12.278	-280.806
-31.014	-22.374	-222.695
-12.101	-32.801	-167.610
6.234	-51.174	-113.678
19.385	-73.702	-57.661
36.825	-85.086	5.725
41.583	-90.770	72.080
40.450	-92.749	138.754
35.421	-85.078	208.923
18.157	-74.821	281.524
-7.073	-58.677	354.133
-31.351	-38.869	425.008
-50.281	-19.669	493.707
-66.742	-4.919	558.639
-60.452	2.641	622.159
-40.422	-1.075	673.150
-25.471	1.630	717.883
-4.317	-15.889	757.960
12.730	-42.813	784.620
28.339	-36.793	818.111
49.049	-36.703	848.423
61.472	-48.191	865.636
63.348	-55.921	882.195
69.560	-57.900	902.640
68.912	-62.234	913.323
63.086	-67.379	921.685
64.020	-69.713	934.051
53.078	-69.409	936.992
44.643	-68.744	939.452
43.670	-62.078	942.436
31.883	-46.493	938.419
25.084	-29.914	926.934
18.924	-18.860	914.010
3.427	-8.037	892.137
-5.049	2.565	864.939
-14.538	-8.292	838.671
-21.869	-6.030	803.689
-15.999	13.928	765.086
-6.362	15.268	720.807
7.557	14.546	673.664
27.126	16.146	620.584
39.863	10.993	553.122
55.719	7.653	485.226
67.960	7.007	418.562
78.171	3.669	339.961
86.800	-3.165	261.718
86.195	-8.241	183.241
81.058	-8.580	99.604
75.021	-12.057	19.105
74.684	-15.015	-58.364
64.736	-13.284	-132.387
55.242	-15.711	-211.854
57.111	-21.223	-286.046
54.461	-18.339	-353.874
52.658	-13.564	-424.242
57.605	-9.960	-488.753
59.505	3.152	-546.327
53.494	7.338	-597.133
35.244	-4.495	-643.161
17.352	-7.871	-686.565
4.808	1.482	-726.611
-11.581	9.665	-765.890
-29.736	18.980	-797.324
-46.433	29.322	-825.151
-62.528	27.931	-854.360
-69.044	24.082	-878.723
-62.608	25.235	-895.344
-48.669	36.363	-909.862
-22.818	44.629	-920.602
0.350	44.924	-934.036
25.136	44.228	-945.336
48.575	41.097	-950.264
67.798	49.976	-952.461
80.655	53.259	-941.528
80.153	43.337	-926.881
69.604	25.745	-911.039
54.599	17.860	-888.094
36.056	26.722	-860.949
5.770	25.008	-826.923
-20.257	20.407	-785.818
-35.271	23.665	-740.958
-44.008	32.397	-693.589
-54.092	38.933	-641.454
-60.045	41.156	-584.137
-64.950	44.034	-526.515
-69.890	48.190	-467.790
-73.049	57.672	-406.477
-70.248	67.475	-342.993
-54.100	71.272	-281.850
-41.142	70.927	-225.580
-26.830	68.450	-168.835
-10.718	61.066	-106.940
5.092	46.707	-50.289
23.651	37.088	8.084
34.241	33.956	71.636
34.451	31.188	136.488
23.971	28.795	205.158
-3.045	29.700	276.136
-31.055	31.120	344.661
-59.337	29.215	408.885
-91.416	28.850	471.699
-115.618	29.883	530.718
-127.682	31.621	588.227
-118.968	35.310	644.319
-104.701	45.853	696.286
-90.231	44.538	735.194
-68.343	31.532	770.313
-47.728	23.450	807.408
-35.537	22.267	835.553
-13.897	24.710	861.555
7.415	22.702	886.030
11.711	24.007	904.427
14.664	20.649	918.632
15.282	11.535	928.990
8.534	9.484	937.438
1.384	5.012	940.471
-3.236	-1.008	939.770
-17.217	-6.798	936.221
-27.835	-13.096	927.077
-39.539	-13.321	918.258
-58.269	-19.254	902.265
-69.977	-17.119	884.346
-77.114	-11.249	859.029
-89.147	-13.490	826.296
-91.703	-10.459	796.071
-86.945	-8.110	756.608
-89.625	-4.469	716.224
-79.323	-5.015	671.699
-67.022	-9.521	616.225
-51.146	-9.373	559.841
-31.637	-10.403	493.359
-15.245	-18.090	424.299
-1.270	-20.096	355.674
7.612	-18.526	275.628
13.092	-20.065	196.614
16.735	-19.572	124.922
18.300	-20.798	49.469
12.651	-21.015	-30.273
17.244	-24.294	-106.857
13.986	-24.634	-181.768
12.960	-24.403	-253.708
17.550	-23.363	-326.604
15.147	-21.811	-395.266
19.019	-26.133	-458.685
20.874	-26.776	-517.314
18.252	-24.879	-573.777
9.945	-28.772	-625.032
